,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_umap
0,0.2,4,0.6959459459459459,0.7027027027027027
1,0.2,5,0.75,0.7444444444444444
2,0.2,6,0.8533333333333334,0.8866666666666667
3,0.2,7,0.7202380952380952,0.8452380952380952
4,0.2,8,0.831081081081081,0.9594594594594594
5,0.2,9,0.8060606060606061,0.8484848484848485
6,0.2,10,0.9066666666666666,0.9800000000000001
7,0.2,11,0.8950617283950618,0.9506172839506173
8,0.2,12,0.9066666666666667,0.9666666666666667
9,0.2,13,0.8985507246376813,0.9927536231884058
10,0.2,14,0.9183673469387756,0.9455782312925171
11,0.2,15,0.95625,0.98125
12,0.2,16,0.9722222222222222,0.9791666666666666
13,0.2,17,0.934640522875817,0.9738562091503269
14,0.2,18,0.9097222222222222,0.9652777777777777
15,0.2,19,0.9333333333333335,0.9733333333333334
16,0.2,20,0.9666666666666667,1.0
17,0.2,21,0.9415584415584414,0.9740259740259739
18,0.2,22,0.944055944055944,0.9720279720279719
19,0.2,23,0.9679487179487178,0.9871794871794871
20,0.2,24,1.0,1.0
21,0.2,25,0.9871794871794872,0.9935897435897436
22,0.2,26,0.986013986013986,0.993006993006993
23,0.2,27,0.9740259740259741,0.987012987012987
24,0.2,28,0.9428571428571428,0.9571428571428571
25,0.2,29,0.9666666666666666,0.9800000000000001
26,0.2,30,0.9933333333333334,1.0
27,0.2,31,0.9791666666666666,0.9930555555555556
28,0.2,32,0.9791666666666666,1.0
29,0.2,33,0.9803921568627452,0.9934640522875817
30,0.2,34,0.9926470588235294,1.0
31,0.2,35,0.9791666666666667,1.0
32,0.2,36,0.9930555555555556,1.0
33,0.2,37,0.9736842105263158,1.0
34,0.2,38,0.9774436090225566,0.9924812030075189
35,0.2,39,0.942857142857143,1.0
36,0.2,40,0.9928571428571429,0.9928571428571429
37,0.2,41,0.9727891156462585,1.0
38,0.2,42,0.979591836734694,0.9931972789115646
39,0.2,43,0.9696969696969697,0.9772727272727272
40,0.2,44,0.9848484848484849,0.9848484848484849
41,0.2,45,0.9710144927536232,0.9855072463768115
42,0.2,46,0.9927536231884058,1.0
43,0.2,47,0.9930555555555555,1.0
44,0.2,48,0.9722222222222222,0.9861111111111112
45,0.2,49,0.9722222222222222,0.9861111111111112
46,0.2,50,0.9866666666666667,1.0
47,0.2,60,0.9866666666666667,1.0
48,0.2,70,1.0,1.0
49,0.2,80,0.9833333333333334,1.0
50,0.2,90,0.9925925925925926,1.0
51,0.2,100,0.98,1.0
52,0.2,150,0.9933333333333334,1.0
53,0.2,200,1.0,1.0
54,0.2,250,0.992,1.0
