,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0,4,0.7083333333333334,0.44166666666666665,0.55
1,0,5,0.6944444444444446,0.513888888888889,0.5416666666666666
2,0,6,0.6833333333333333,0.5,0.4916666666666668
3,0,7,0.7720588235294118,0.5514705882352942,0.6397058823529411
4,0,8,0.7166666666666667,0.525,0.6083333333333333
5,0,9,0.8538461538461538,0.5076923076923078,0.7153846153846156
6,0,10,0.7833333333333333,0.43333333333333335,0.6
7,0,11,0.6825396825396826,0.46825396825396826,0.6507936507936508
8,0,12,0.8333333333333334,0.5000000000000001,0.6583333333333334
9,0,13,0.7777777777777777,0.4365079365079365,0.7380952380952381
10,0,14,0.7647058823529412,0.5042016806722689,0.6302521008403361
11,0,15,0.8671875,0.4765625,0.84375
12,0,16,0.85,0.5083333333333333,0.7916666666666666
13,0,17,0.8968253968253969,0.5,0.8888888888888891
14,0,18,0.7863247863247864,0.5384615384615384,0.7692307692307694
15,0,19,0.8666666666666668,0.48333333333333334,0.8083333333333335
16,0,20,0.7999999999999999,0.5000000000000001,0.8333333333333335
17,0,21,0.8512396694214875,0.4628099173553718,0.8760330578512397
18,0,22,0.8909090909090909,0.5181818181818182,0.809090909090909
19,0,23,0.8750000000000002,0.5416666666666666,0.975
20,0,24,0.8166666666666668,0.4916666666666666,0.9416666666666667
21,0,25,0.8205128205128206,0.5128205128205128,0.8632478632478633
22,0,26,0.8290598290598291,0.49572649572649574,0.8461538461538461
23,0,27,0.875,0.5357142857142858,0.9642857142857143
24,0,28,0.7678571428571428,0.5267857142857142,0.9464285714285714
25,0,29,0.8666666666666667,0.47500000000000003,0.95
26,0,30,0.8166666666666667,0.5166666666666666,0.925
27,0,31,0.8285714285714285,0.5238095238095238,0.9047619047619049
28,0,32,0.8482142857142857,0.6071428571428571,1.0
29,0,33,0.9831932773109244,0.6554621848739496,1.0
30,0,34,0.7899159663865546,0.588235294117647,0.8907563025210085
31,0,35,0.8425925925925926,0.6481481481481483,1.0
32,0,36,0.9259259259259259,0.7129629629629631,1.0
33,0,37,0.8859649122807017,0.7280701754385964,1.0
34,0,38,0.8508771929824562,0.7894736842105262,0.9736842105263158
35,0,39,0.9666666666666667,0.8166666666666668,0.9666666666666667
36,0,40,0.9500000000000001,0.7999999999999999,0.9916666666666667
37,0,41,0.9714285714285715,0.7714285714285715,1.0
38,0,42,0.8476190476190476,0.6761904761904762,1.0
39,0,43,0.909090909090909,0.8181818181818181,1.0
40,0,44,0.8818181818181818,0.7818181818181819,1.0
41,0,45,0.9913043478260869,0.8,1.0
42,0,46,0.9913043478260869,0.8434782608695652,1.0
43,0,47,0.9083333333333332,0.7999999999999999,1.0
44,0,48,0.8416666666666668,0.7583333333333333,0.9666666666666668
45,0,49,0.83,0.8300000000000001,1.0
46,0,50,0.95,0.8699999999999999,1.0
47,0,60,0.9500000000000001,0.9083333333333334,1.0
48,0,70,1.0,0.9714285714285714,1.0
49,0,80,0.8916666666666666,0.9500000000000001,1.0
50,0,90,0.8888888888888888,0.8888888888888888,1.0
51,0,100,0.97,0.96,1.0
52,0,150,0.9333333333333333,1.0,1.0
53,0,200,0.87,1.0,1.0
